DisplayName: ObjectModel.can1:mac54/iDrive.Accu@IPS_10.183.155.184,SignalName: ObjectModel.can1:mac54/iDrive.Signal.Accu@IPS_10.183.155.184,Source: RC06,Unit: rev,SignalType: Analog
16:12:2014 16:13:37:239,842.6494141,,,
16:12:2014 16:13:37:239,842.6489258,,,
16:12:2014 16:13:37:276,842.6489258,,,
16:12:2014 16:13:37:276,842.6494141,,,
16:12:2014 16:13:37:361,842.6494141,,,
16:12:2014 16:13:37:361,842.6489258,,,
16:12:2014 16:13:37:412,842.6489258,,,
16:12:2014 16:13:37:412,842.6494141,,,
16:12:2014 16:13:37:498,842.6494141,,,
16:12:2014 16:13:37:498,842.6489258,,,
16:12:2014 16:13:37:515,842.6489258,,,
16:12:2014 16:13:37:515,842.6494141,,,
16:12:2014 16:13:37:531,842.6494141,,,
16:12:2014 16:13:37:531,842.6489258,,,
16:12:2014 16:13:37:547,842.6489258,,,
16:12:2014 16:13:37:547,842.6494141,,,
16:12:2014 16:13:37:627,842.6494141,,,
16:12:2014 16:13:37:627,842.6489258,,,
16:12:2014 16:13:37:678,842.6489258,,,
16:12:2014 16:13:37:678,842.6494141,,,
16:12:2014 16:13:37:763,842.6494141,,,
16:12:2014 16:13:37:763,842.6489258,,,
16:12:2014 16:13:37:828,842.6489258,,,
16:12:2014 16:13:37:828,842.6494141,,,
16:12:2014 16:13:37:908,842.6494141,,,
16:12:2014 16:13:37:908,842.6489258,,,
16:12:2014 16:13:37:941,842.6489258,,,
16:12:2014 16:13:37:941,842.6494141,,,
16:12:2014 16:13:38:038,842.6494141,,,
16:12:2014 16:13:38:038,842.6489258,,,
16:12:2014 16:13:38:092,842.6489258,,,
16:12:2014 16:13:38:092,842.6494141,,,
16:12:2014 16:13:38:157,842.6494141,,,
16:12:2014 16:13:38:157,842.6489258,,,
16:12:2014 16:13:38:205,842.6489258,,,
16:12:2014 16:13:38:205,842.6494141,,,
16:12:2014 16:13:38:285,842.6494141,,,
16:12:2014 16:13:38:285,842.6489258,,,
16:12:2014 16:13:38:333,842.6489258,,,
16:12:2014 16:13:38:333,842.6494141,,,
16:12:2014 16:13:38:429,842.6494141,,,
16:12:2014 16:13:38:429,842.6489258,,,
16:12:2014 16:13:38:463,842.6489258,,,
16:12:2014 16:13:38:463,842.6494141,,,
16:12:2014 16:13:38:562,842.6494141,,,
16:12:2014 16:13:38:562,842.6489258,,,
16:12:2014 16:13:38:627,842.6489258,,,
16:12:2014 16:13:38:627,842.6494141,,,
16:12:2014 16:13:38:712,842.6494141,,,
16:12:2014 16:13:38:712,842.6489258,,,
16:12:2014 16:13:38:749,842.6489258,,,
16:12:2014 16:13:38:749,842.6494141,,,
16:12:2014 16:13:38:834,842.6494141,,,
16:12:2014 16:13:38:834,842.6489258,,,
16:12:2014 16:13:38:885,842.6489258,,,
16:12:2014 16:13:38:885,842.6494141,,,
16:12:2014 16:13:38:987,842.6494141,,,
